artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Majki, Mario Dracula",Pasek Gucci - La La La - Majki Remix,klubowe,0.864,0.743,9,-4.782,1,0.0973,0.0304,3.96e-06,0.109,0.731,136.005,157105,4
"Chase & Status, Hedex, ArrDee",Liquor & Cigarettes (feat. ArrDee),dancefloor dnb,0.578,0.978,0,-0.21,1,0.356,0.073,1.4e-06,0.0867,0.594,174.937,189257,4
ĆPAJ STAJL,Dwa Kolory,polish alternative rap,0.704,0.611,7,-8.294,1,0.389,0.0988,0.0,0.0819,0.309,173.915,193103,5
HAŁASTRA,Pośpiech,polish alternative rap,0.684,0.664,1,-8.77,1,0.206,0.0621,0.0,0.108,0.584,82.073,186182,4
"Baba Hassan, Pusher, Oska030, Lotuseffekt, Polski Bandyta",Dzieciaki z Ulicy,polish drill,0.797,0.499,7,-11.366,1,0.324,0.0335,7.97e-05,0.192,0.719,103.889,106154,4
"Baba Hassan, Oska030, Pusher, GRACEK, Omerta075, Lotuseffekt",SOWY,polish drill,0.735,0.687,2,-6.629,1,0.367,0.0462,0.0,0.087,0.186,101.952,191176,4
"Baba Hassan, Pusher, Oska030, PSR",Chleję i Kleję,polish drill,0.843,0.622,11,-6.666,0,0.056,0.0243,0.000489,0.122,0.499,117.93,169364,4
"Pako, White Widow, Weely",POZA DOMEM,polish trap,0.69,0.721,10,-8.852,0,0.224,0.0762,0.0,0.0797,0.494,181.949,138420,4
Alan,Umrzeć na bloku,polish hip hop,0.771,0.462,1,-10.521,1,0.245,0.167,9.72e-06,0.117,0.493,153.934,152760,4
"shymczyk, Gabin SOSO, DEL8",szkoda,,0.688,0.689,4,-6.846,0,0.045,0.341,0.0,0.345,0.638,143.145,171189,4
Alan,Pojechałem 200,polish hip hop,0.859,0.709,0,-6.514,0,0.058,0.176,0.0,0.119,0.528,99.987,202254,4
Alan,Gołębie Serce,polish hip hop,0.777,0.574,7,-8.774,1,0.333,0.225,0.0,0.0775,0.456,81.97,171272,4
"Alan, Floral Bugs",Sajko Placebo,polish hip hop,0.699,0.663,8,-8.787,1,0.131,0.34,0.0,0.0984,0.51,155.182,225936,5
Alan,Sztylet,polish hip hop,0.634,0.436,0,-10.693,1,0.0777,0.476,0.0,0.0907,0.125,119.91,130963,4
"Przyłu, RIP SCOTTY",Diabeł,polish hip hop,0.728,0.699,1,-6.918,0,0.214,0.409,0.0,0.0938,0.2,149.96,185600,4
