artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"bambi, Young Leosia, PG$, @atutowy",BFF,polish hip hop,0.685,0.723,6,-7.159,0,0.0887,0.0293,1.83e-05,0.103,0.435,145.955,174247,4
Wham!,Last Christmas - Single Version,new romantic,0.733,0.598,2,-8.228,1,0.0278,0.212,3.71e-06,0.156,0.935,107.732,265960,4
Mariah Carey,All I Want for Christmas Is You,dance pop,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
"ReTo, Wroobel",Fluid,polish hip hop,0.765,0.578,8,-8.178,1,0.0815,0.199,1.12e-06,0.222,0.575,137.996,142206,4
"Paluch, Miroff, Poly",Mam Cię,polish hip hop,0.863,0.661,7,-6.406,0,0.0897,0.112,0.0,0.11,0.456,94.976,141500,4
Tate McRae,greedy,alt z,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1
"Gibbs, Jonatan, 4Money",Stan,polish hip hop,0.822,0.667,3,-6.512,0,0.0748,0.258,0.0,0.117,0.3,121.999,181045,4
Sia,Snowman,australian dance,0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,3
"Oki, bvdy47",JEREMY SOCHAN,polish hip hop,0.761,0.726,1,-5.727,0,0.0757,0.0679,0.0,0.217,0.807,127.089,145984,4
Brenda Lee,Rockin' Around The Christmas Tree,adult standards,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
Blacha 2115,Jolie Jolie,polish hip hop,0.671,0.802,11,-9.194,0,0.0375,0.684,0.0616,0.135,0.491,124.965,153600,4
Bobby Helms,Jingle Bell Rock,,0.725,0.368,2,-10.657,1,0.0411,0.967,0.0,0.074,0.7,119.438,133407,4
Kenya Grace,Strangers,singer-songwriter pop,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4
"White Widow, BAHsick",TYLE SŁOŃCA,polish hip hop,0.771,0.919,0,-3.152,1,0.268,0.204,0.0,0.375,0.557,105.02,142286,4
"Asster, BarTie",ALL DAY FRESH,polish hip hop,0.794,0.525,1,-11.388,1,0.261,0.267,0.0,0.0934,0.222,123.946,134000,4
"Smolasty, Doda, Filip Leon, WIKTOR",Nim Zajdzie Słońce,polish hip hop,0.575,0.654,6,-7.23,1,0.0543,0.365,0.0,0.326,0.487,91.071,144490,4
"L.U.C., Rebel Babel Film Orchestra, Kayah, Dagadana, Laboratorium Pieśni, Tęgie Chłopy",Jesień – Tańcuj,,0.53,0.644,7,-7.122,0,0.0321,0.0538,0.0,0.353,0.278,132.034,280095,4
